[NanoDet][08-25 19:47:19]INFO: Setting up data...
[NanoDet][08-25 19:47:19]INFO: Creating model...
[NanoDet][08-25 19:47:19]INFO: 使用 CPU 进行训练
[NanoDet][08-25 19:53:08]INFO: Train|Epoch24/300|Iter2300(1)| mem:0G| lr:7.00e-02| loss_qfl:1.2479| loss_bbox:0.6815| loss_dfl:0.3602| aux_loss_qfl:0.7881| aux_loss_bbox:0.9587| aux_loss_dfl:0.4051| loss_feat_kd:11.0321| loss_cls_kd:0.0000| loss_reg_kd:0.0784| 
[NanoDet][08-25 19:53:15]INFO: Train|Epoch24/300|Iter2350(51)| mem:0G| lr:7.00e-02| loss_qfl:0.6389| loss_bbox:1.1378| loss_dfl:0.3790| aux_loss_qfl:0.4052| aux_loss_bbox:1.2515| aux_loss_dfl:0.3991| loss_feat_kd:7.8314| loss_cls_kd:0.0000| loss_reg_kd:0.0759| 
[NanoDet][08-25 19:53:20]INFO: Train|Epoch25/300|Iter2400(1)| mem:0G| lr:7.00e-02| loss_qfl:0.9641| loss_bbox:0.7896| loss_dfl:0.2984| aux_loss_qfl:0.4112| aux_loss_bbox:1.2489| aux_loss_dfl:0.4019| loss_feat_kd:21.1375| loss_cls_kd:0.0000| loss_reg_kd:0.0948| 
[NanoDet][08-25 19:53:28]INFO: Train|Epoch25/300|Iter2450(51)| mem:0G| lr:7.00e-02| loss_qfl:1.2182| loss_bbox:0.6847| loss_dfl:0.3424| aux_loss_qfl:0.5816| aux_loss_bbox:1.0874| aux_loss_dfl:0.4024| loss_feat_kd:20.4925| loss_cls_kd:0.0000| loss_reg_kd:0.0936| 
[NanoDet][08-25 19:53:35]INFO: Train|Epoch26/300|Iter2500(1)| mem:0G| lr:7.00e-02| loss_qfl:1.2960| loss_bbox:0.6579| loss_dfl:0.3110| aux_loss_qfl:0.3797| aux_loss_bbox:1.2057| aux_loss_dfl:0.4081| loss_feat_kd:15.7759| loss_cls_kd:0.0000| loss_reg_kd:0.0987| 
[NanoDet][08-25 19:53:40]INFO: Train|Epoch26/300|Iter2550(51)| mem:0G| lr:7.00e-02| loss_qfl:0.9090| loss_bbox:0.8982| loss_dfl:0.3137| aux_loss_qfl:0.4693| aux_loss_bbox:1.2398| aux_loss_dfl:0.4093| loss_feat_kd:12.8589| loss_cls_kd:0.0000| loss_reg_kd:0.0856| 
[NanoDet][08-25 19:53:46]INFO: Train|Epoch27/300|Iter2600(1)| mem:0G| lr:7.00e-02| loss_qfl:1.0203| loss_bbox:0.7886| loss_dfl:0.3360| aux_loss_qfl:0.6012| aux_loss_bbox:1.0624| aux_loss_dfl:0.4049| loss_feat_kd:11.0325| loss_cls_kd:0.0000| loss_reg_kd:0.0829| 
[NanoDet][08-25 19:53:53]INFO: Train|Epoch27/300|Iter2650(51)| mem:0G| lr:7.00e-02| loss_qfl:1.0417| loss_bbox:0.7979| loss_dfl:0.3504| aux_loss_qfl:0.5893| aux_loss_bbox:1.0899| aux_loss_dfl:0.4035| loss_feat_kd:13.5928| loss_cls_kd:0.0000| loss_reg_kd:0.0886| 
[NanoDet][08-25 19:54:00]INFO: Train|Epoch28/300|Iter2700(1)| mem:0G| lr:7.00e-02| loss_qfl:1.1100| loss_bbox:0.8529| loss_dfl:0.3211| aux_loss_qfl:0.3723| aux_loss_bbox:1.3095| aux_loss_dfl:0.4120| loss_feat_kd:13.7478| loss_cls_kd:0.0000| loss_reg_kd:0.0813| 
[NanoDet][08-25 19:54:05]INFO: Train|Epoch28/300|Iter2750(51)| mem:0G| lr:7.00e-02| loss_qfl:1.1186| loss_bbox:0.7210| loss_dfl:0.3214| aux_loss_qfl:0.3863| aux_loss_bbox:1.1646| aux_loss_dfl:0.4088| loss_feat_kd:12.4974| loss_cls_kd:0.0000| loss_reg_kd:0.0764| 
[NanoDet][08-25 19:54:11]INFO: Train|Epoch29/300|Iter2800(1)| mem:0G| lr:7.00e-02| loss_qfl:1.0498| loss_bbox:0.7715| loss_dfl:0.3092| aux_loss_qfl:0.3614| aux_loss_bbox:1.2331| aux_loss_dfl:0.4070| loss_feat_kd:18.5410| loss_cls_kd:0.0000| loss_reg_kd:0.1031| 
[NanoDet][08-25 19:54:18]INFO: Train|Epoch29/300|Iter2850(51)| mem:0G| lr:7.00e-02| loss_qfl:0.9375| loss_bbox:0.7910| loss_dfl:0.3576| aux_loss_qfl:0.8343| aux_loss_bbox:0.9910| aux_loss_dfl:0.4016| loss_feat_kd:16.0984| loss_cls_kd:0.0000| loss_reg_kd:0.0900| 
